hub,fan_in,complaints,in_corpus,blacklist_finds
+18559263313,1,0,No,No
+17087604739,1,0,No,No
+15027963677,1,0,No,No
+18669590922,1,0,No,No
+16043520537,1,0,No,No
+16477385616,1,0,No,No
+16473704629,1,0,No,No
+18445997879,1,0,No,No
+18444914763,1,0,No,No
+18887214623,1,0,No,No
+18337279449,1,0,No,No
+15054059211,1,0,No,No
+18333382930,1,0,No,No
+17037221817,1,0,No,No
+13043976577,1,0,No,No
+18888034995,1,0,No,No
+15806344939,1,0,No,No
+18772665563,1,0,No,No
+18052253720,1,0,No,No
+18662684923,1,0,No,No
+18449597731,1,0,No,No
+18886117576,1,0,No,No
+14582036802,1,0,No,No
+18778405011,1,0,No,No
+18444879402,1,0,No,No
+18332514293,1,0,No,No
+19543583717,1,0,No,No
+18447387904,1,0,No,No
+18337413478,1,0,No,No
+18883524992,1,0,No,No
+18662262306,1,0,No,No
+18142987779,1,0,No,No
+18447097497,1,0,No,No
+18337278588,1,0,No,No
+15415902175,1,0,No,No
+17274569930,1,0,No,No
+12077701444,1,0,No,No
+18449510881,1,0,No,No
+18883386960,1,0,No,No
+12164785118,1,0,No,No
+18334213830,1,0,No,No
+19093878303,1,0,No,No
+18888668295,1,0,No,No
+18667837489,1,0,No,No
+18006383120,1,0,No,No
+19529488254,1,0,No,No
+18775041186,1,0,No,No
+18558287716,1,0,No,No
+18558287718,1,0,No,No
+18663075091,1,0,No,No
+19203201992,1,0,No,No
+18336962192,1,0,No,No
+13105659550,1,0,No,No
+18586876162,1,0,No,No
+12408171562,1,0,No,No
+18335401145,1,0,No,No
+18668436450,1,0,No,No
+18447164614,1,0,No,No
+18006077226,1,0,No,No
+18008062324,1,0,No,No
+17204563773,1,0,No,No
+18007721213,1,0,No,No
+18038914169,1,0,No,No
+14845507918,1,0,No,No
+18562086108,1,0,No,No
+18002667073,1,0,No,No
+17752066038,1,0,No,No
+17408344000,1,0,No,No
+18664837200,1,0,No,No
+15153245068,1,0,No,No
+18667070485,1,0,No,No
+18007297123,1,0,No,No
+18003472683,1,0,No,No
+18884199444,1,0,No,No
+18448570333,1,0,No,No
