rank,size,corpus_nodes,shadow_nodes,top_call_type,homogeneity
167,7,2,5,Scam suspicion,0.5
168,7,1,6,Debt collector,1.0
169,7,3,4,Scam suspicion,1.0
170,7,1,6,Debt collector,1.0
171,7,1,6,Debt collector,1.0
172,7,1,6,Scam suspicion,1.0
173,7,1,6,Debt collector,1.0
174,7,1,6,Telemarketer,1.0
175,7,3,4,Scam suspicion,1.0
176,7,1,6,Debt collector,1.0
177,7,1,6,Event reminder,1.0
178,7,5,2,Scam suspicion,1.0
179,7,2,5,Scam suspicion,0.5
180,7,3,4,Unknown,0.3333
181,7,2,5,Unknown,0.5
182,7,1,6,Debt collector,1.0
183,7,2,5,Debt collector,1.0
184,7,3,4,Scam suspicion,0.6667
185,7,2,5,Scam suspicion,0.5
186,7,1,6,Debt collector,1.0
187,7,1,6,Survey,1.0
188,7,4,3,Survey,0.75
189,6,4,2,Survey,0.5
190,6,4,2,Scam suspicion,0.75
191,6,5,1,Scam suspicion,0.6
192,6,3,3,Scam suspicion,1.0
193,6,1,5,Debt collector,1.0
194,6,1,5,Scam suspicion,1.0
195,6,5,1,Scam suspicion,0.8
196,6,2,4,Scam suspicion,1.0
197,6,6,0,Scam suspicion,0.8333
198,6,1,5,Text message,1.0
199,6,6,0,Scam suspicion,0.6667
200,6,1,5,Scam suspicion,1.0
201,6,4,2,Telemarketer,0.75
202,6,1,5,Unwanted,1.0
203,6,1,5,Unwanted,1.0
204,6,5,1,Telemarketer,1.0
205,6,2,4,Scam suspicion,1.0
206,6,1,5,Scam suspicion,1.0
207,6,1,5,Scam suspicion,1.0
208,6,1,5,Scam suspicion,1.0
209,6,2,4,Scam suspicion,1.0
210,6,2,4,Telemarketer,1.0
211,6,1,5,Scam suspicion,1.0
212,6,2,4,Fax,1.0
213,6,1,5,Telemarketer,1.0
214,6,1,5,Scam suspicion,1.0
215,6,1,5,Scam suspicion,1.0
216,6,1,5,Scam suspicion,1.0
217,6,1,5,Scam suspicion,1.0
218,6,1,5,Debt collector,1.0
219,6,1,5,Scam suspicion,1.0
220,6,1,5,Scam suspicion,1.0
221,6,1,5,Text message,1.0
222,6,1,5,Scam suspicion,1.0
223,6,1,5,Telemarketer,1.0
224,6,1,5,Debt collector,1.0
225,6,1,5,Non-profit organization,1.0
226,6,1,5,Telemarketer,1.0
227,6,2,4,Text message,0.5
228,6,1,5,Telemarketer,1.0
229,6,5,1,Scam suspicion,1.0
230,6,4,2,Scam suspicion,1.0
231,6,2,4,Debt collector,0.5
232,6,1,5,Debt collector,1.0
233,6,1,5,Unknown,1.0
234,6,1,5,Scam suspicion,1.0
235,6,1,5,Scam suspicion,1.0
236,6,1,5,Text message,1.0
237,6,1,5,Debt collector,1.0
238,6,1,5,Debt collector,1.0
239,6,1,5,Debt collector,1.0
240,6,1,5,Prank,1.0
241,6,1,5,Prank,1.0
242,6,1,5,Debt collector,1.0
243,6,2,4,Debt collector,1.0
244,6,1,5,Debt collector,1.0
245,6,1,5,Scam suspicion,1.0
246,5,1,4,Unwanted,1.0
247,5,1,4,Prank,1.0
248,5,2,3,Scam suspicion,1.0
249,5,2,3,Text message,0.5
250,5,1,4,Unwanted,1.0
251,5,1,4,Debt collector,1.0
252,5,4,1,Debt collector,0.5
253,5,2,3,Scam suspicion,1.0
254,5,2,3,Text message,0.5
255,5,4,1,Telemarketer,0.75
256,5,5,0,Scam suspicion,1.0
257,5,3,2,Scam suspicion,1.0
258,5,1,4,Scam suspicion,1.0
259,5,4,1,Telemarketer,1.0
260,5,4,1,Scam suspicion,0.75
261,5,4,1,Telemarketer,1.0
262,5,1,4,Scam suspicion,1.0
263,5,1,4,Text message,1.0
264,5,1,4,Scam suspicion,1.0
265,5,1,4,Scam suspicion,1.0
266,5,2,3,Valid,0.5
267,5,3,2,Debt collector,1.0
268,5,2,3,Scam suspicion,0.5
269,5,1,4,Text message,1.0
270,5,5,0,Unwanted,0.6
271,5,4,1,Scam suspicion,0.5
272,5,1,4,Scam suspicion,1.0
273,5,1,4,Debt collector,1.0
274,5,1,4,Scam suspicion,1.0
275,5,1,4,Scam suspicion,1.0
276,5,4,1,Telemarketer,0.5
277,5,4,1,Scam suspicion,0.5
278,5,2,3,Scam suspicion,1.0
279,5,4,1,Telemarketer,0.75
280,5,1,4,Text message,1.0
281,5,1,4,Prank,1.0
282,5,1,4,Scam suspicion,1.0
283,5,2,3,Telemarketer,0.5
284,5,1,4,Debt collector,1.0
285,5,2,3,Scam suspicion,0.5
286,5,1,4,Scam suspicion,1.0
287,5,1,4,Debt collector,1.0
288,5,2,3,Scam suspicion,1.0
289,5,1,4,Scam suspicion,1.0
290,5,4,1,Scam suspicion,1.0
291,5,2,3,Text message,0.5
292,5,2,3,Unwanted,1.0
293,5,1,4,Scam suspicion,1.0
294,5,2,3,Scam suspicion,0.5
295,5,2,3,Unknown,0.5
296,5,4,1,Debt collector,0.25
297,5,1,4,Scam suspicion,1.0
298,5,1,4,Debt collector,1.0
299,5,1,4,Debt collector,1.0
300,5,1,4,Debt collector,1.0
301,5,1,4,Event reminder,1.0
302,5,5,0,Scam suspicion,1.0
303,5,5,0,Scam suspicion,1.0
304,5,4,1,Scam suspicion,1.0
305,5,5,0,Scam suspicion,1.0
306,5,4,1,Scam suspicion,0.75
307,5,3,2,Scam suspicion,1.0
308,5,1,4,Scam suspicion,1.0
309,5,1,4,Scam suspicion,1.0
310,5,5,0,Telemarketer,0.8
311,5,2,3,Telemarketer,0.5
312,5,1,4,Telemarketer,1.0
313,5,2,3,Scam suspicion,0.5
314,5,1,4,Debt collector,1.0
315,5,2,3,Debt collector,1.0
316,5,1,4,Debt collector,1.0
317,5,1,4,Debt collector,1.0
318,5,1,4,Unknown,1.0
319,5,1,4,Scam suspicion,1.0
320,5,1,4,Scam suspicion,1.0
321,5,1,4,Scam suspicion,1.0
322,5,1,4,Scam suspicion,1.0
323,5,1,4,Unwanted,1.0
324,5,1,4,Scam suspicion,1.0
325,5,1,4,Scam suspicion,1.0
326,5,3,2,Scam suspicion,0.6667
327,5,1,4,Scam suspicion,1.0
328,5,2,3,Silent call,0.5
329,5,1,4,Valid,1.0
330,5,2,3,Scam suspicion,1.0
331,5,1,4,Telemarketer,1.0
332,5,1,4,Telemarketer,1.0
333,5,1,4,Telemarketer,1.0
334,4,1,3,Scam suspicion,1.0
335,4,1,3,Text message,1.0
336,4,4,0,Unwanted,1.0
337,4,3,1,Scam suspicion,0.6667
338,4,4,0,Scam suspicion,0.75
339,4,1,3,Debt collector,1.0
340,4,1,3,Scam suspicion,1.0
341,4,1,3,Scam suspicion,1.0
342,4,1,3,Unknown,1.0
343,4,3,1,Scam suspicion,1.0
344,4,4,0,Unknown,0.75
345,4,1,3,Text message,1.0
346,4,1,3,Unknown,1.0
347,4,1,3,Scam suspicion,1.0
348,4,1,3,Scam suspicion,1.0
349,4,4,0,Scam suspicion,0.75
350,4,4,0,Scam suspicion,1.0
351,4,3,1,Scam suspicion,1.0
352,4,1,3,Scam suspicion,1.0
353,4,1,3,Scam suspicion,1.0
354,4,3,1,Telemarketer,0.6667
355,4,3,1,Scam suspicion,0.6667
356,4,2,2,Fax,1.0
357,4,1,3,Telemarketer,1.0
358,4,3,1,Unknown,0.3333
359,4,3,1,Unwanted,0.6667
360,4,2,2,Scam suspicion,1.0
361,4,3,1,Scam suspicion,1.0
362,4,2,2,Scam suspicion,1.0
363,4,3,1,Debt collector,1.0
364,4,2,2,Scam suspicion,1.0
365,4,4,0,Unwanted,0.5
366,4,1,3,Telemarketer,1.0
367,4,2,2,Scam suspicion,1.0
368,4,1,3,Debt collector,1.0
369,4,2,2,Silent call,0.5
370,4,1,3,Valid,1.0
371,4,2,2,Unwanted,1.0
372,4,1,3,Scam suspicion,1.0
373,4,1,3,Debt collector,1.0
374,4,1,3,Non-profit organization,1.0
375,4,1,3,Scam suspicion,1.0
376,4,2,2,Scam suspicion,0.5
377,4,1,3,Silent call,1.0
378,4,1,3,Text message,1.0
379,4,1,3,Unwanted,1.0
380,4,2,2,Scam suspicion,1.0
381,4,1,3,Scam suspicion,1.0
382,4,1,3,Scam suspicion,1.0
383,4,1,3,Valid,1.0
384,4,1,3,Political call,1.0
385,4,1,3,Scam suspicion,1.0
