rank,size,corpus_nodes,shadow_nodes,top_call_type,homogeneity
734,3,3,0,Scam suspicion,1.0
735,3,3,0,Scam suspicion,1.0
736,3,3,0,Scam suspicion,1.0
737,3,2,1,Scam suspicion,1.0
738,3,2,1,Scam suspicion,1.0
739,3,1,2,Scam suspicion,1.0
740,3,1,2,Scam suspicion,1.0
741,3,1,2,Scam suspicion,1.0
742,3,3,0,Scam suspicion,1.0
743,3,1,2,Scam suspicion,1.0
744,3,1,2,Scam suspicion,1.0
745,3,1,2,Debt collector,1.0
746,3,1,2,Debt collector,1.0
747,3,3,0,Scam suspicion,1.0
748,3,2,1,Scam suspicion,1.0
749,3,1,2,Text message,1.0
750,3,1,2,Scam suspicion,1.0
751,3,3,0,Scam suspicion,1.0
752,3,1,2,Scam suspicion,1.0
753,3,2,1,Scam suspicion,1.0
754,3,1,2,Debt collector,1.0
755,3,2,1,Scam suspicion,1.0
756,3,1,2,Scam suspicion,1.0
757,3,1,2,Telemarketer,1.0
758,3,1,2,Scam suspicion,1.0
759,3,3,0,Scam suspicion,0.6667
760,3,1,2,Scam suspicion,1.0
761,3,2,1,Scam suspicion,1.0
762,3,1,2,Scam suspicion,1.0
763,3,2,1,Valid,1.0
764,3,1,2,Text message,1.0
765,3,1,2,Scam suspicion,1.0
766,3,1,2,Scam suspicion,1.0
767,3,1,2,Scam suspicion,1.0
768,3,1,2,Scam suspicion,1.0
769,3,2,1,Telemarketer,1.0
770,3,1,2,Unknown,1.0
771,3,3,0,Scam suspicion,1.0
772,3,1,2,Scam suspicion,1.0
773,3,1,2,Scam suspicion,1.0
774,3,2,1,Scam suspicion,1.0
775,3,1,2,Text message,1.0
776,3,1,2,Text message,1.0
777,3,1,2,Scam suspicion,1.0
778,3,1,2,Debt collector,1.0
779,3,2,1,Unwanted,0.5
780,3,1,2,Scam suspicion,1.0
781,3,1,2,Unwanted,1.0
782,3,1,2,Scam suspicion,1.0
783,3,2,1,Survey,0.5
784,3,1,2,Telemarketer,1.0
785,3,1,2,Scam suspicion,1.0
786,3,1,2,Telemarketer,1.0
787,3,1,2,Scam suspicion,1.0
788,3,1,2,Telemarketer,1.0
789,3,2,1,Text message,1.0
790,3,1,2,Scam suspicion,1.0
791,3,1,2,Scam suspicion,1.0
792,3,1,2,Survey,1.0
793,3,1,2,Debt collector,1.0
794,3,1,2,Scam suspicion,1.0
795,3,1,2,Non-profit organization,1.0
796,3,1,2,Debt collector,1.0
797,3,3,0,Unknown,1.0
798,3,1,2,Scam suspicion,1.0
799,3,1,2,Scam suspicion,1.0
800,3,2,1,Scam suspicion,1.0
801,3,1,2,Scam suspicion,1.0
802,3,2,1,Scam suspicion,1.0
803,3,3,0,Scam suspicion,1.0
804,3,1,2,Scam suspicion,1.0
805,3,1,2,Scam suspicion,1.0
806,3,1,2,Scam suspicion,1.0
807,3,1,2,Scam suspicion,1.0
808,3,1,2,Scam suspicion,1.0
809,3,1,2,Scam suspicion,1.0
810,3,1,2,Scam suspicion,1.0
811,3,1,2,Debt collector,1.0
812,3,2,1,Scam suspicion,1.0
813,3,1,2,Scam suspicion,1.0
814,3,1,2,Scam suspicion,1.0
815,3,1,2,Scam suspicion,1.0
816,3,1,2,Scam suspicion,1.0
817,3,1,2,Telemarketer,1.0
818,3,1,2,Political call,1.0
819,3,1,2,Scam suspicion,1.0
820,3,1,2,Prank,1.0
821,3,1,2,Scam suspicion,1.0
822,3,1,2,Scam suspicion,1.0
823,3,1,2,Debt collector,1.0
824,3,3,0,Scam suspicion,0.6667
825,3,1,2,Scam suspicion,1.0
826,3,1,2,Prank,1.0
827,3,3,0,Unknown,1.0
828,3,2,1,Scam suspicion,0.5
829,3,1,2,Scam suspicion,1.0
830,3,2,1,Scam suspicion,1.0
831,3,1,2,Scam suspicion,1.0
832,3,1,2,Debt collector,1.0
833,3,1,2,Debt collector,1.0
834,3,1,2,Scam suspicion,1.0
835,3,1,2,Scam suspicion,1.0
836,3,1,2,Scam suspicion,1.0
837,3,1,2,Scam suspicion,1.0
838,3,1,2,Scam suspicion,1.0
839,3,1,2,Telemarketer,1.0
840,3,1,2,Debt collector,1.0
841,3,1,2,Telemarketer,1.0
842,3,2,1,Unknown,0.5
843,3,1,2,Scam suspicion,1.0
844,3,1,2,Scam suspicion,1.0
845,3,1,2,Scam suspicion,1.0
846,3,1,2,Scam suspicion,1.0
847,3,1,2,Scam suspicion,1.0
848,3,1,2,Scam suspicion,1.0
849,3,1,2,Scam suspicion,1.0
850,3,1,2,Scam suspicion,1.0
851,3,1,2,Scam suspicion,1.0
852,3,1,2,Scam suspicion,1.0
853,3,2,1,Debt collector,1.0
854,3,1,2,Unwanted,1.0
855,3,2,1,Unwanted,0.5
856,3,2,1,Silent call,1.0
857,3,2,1,Telemarketer,0.5
858,3,1,2,Scam suspicion,1.0
859,3,1,2,Valid,1.0
860,3,1,2,Scam suspicion,1.0
861,3,1,2,Debt collector,1.0
862,3,1,2,Unknown,1.0
863,3,1,2,Telemarketer,1.0
864,3,1,2,Scam suspicion,1.0
865,3,1,2,Telemarketer,1.0
866,3,2,1,Scam suspicion,1.0
867,3,1,2,Scam suspicion,1.0
868,3,1,2,Scam suspicion,1.0
869,3,1,2,Scam suspicion,1.0
870,3,1,2,Scam suspicion,1.0
871,3,1,2,Unwanted,1.0
872,3,1,2,Scam suspicion,1.0
873,2,1,1,Scam suspicion,1.0
874,2,1,1,Scam suspicion,1.0
875,2,2,0,Unwanted,1.0
876,2,1,1,Scam suspicion,1.0
877,2,1,1,Scam suspicion,1.0
878,2,1,1,Unknown,1.0
879,2,1,1,Scam suspicion,1.0
880,2,1,1,Prank,1.0
881,2,1,1,Scam suspicion,1.0
882,2,2,0,Scam suspicion,1.0
883,2,1,1,Telemarketer,1.0
884,2,2,0,Scam suspicion,1.0
885,2,1,1,Political call,1.0
886,2,1,1,Scam suspicion,1.0
887,2,1,1,Scam suspicion,1.0
888,2,1,1,Scam suspicion,1.0
889,2,1,1,Scam suspicion,1.0
890,2,1,1,Unwanted,1.0
891,2,1,1,Survey,1.0
892,2,1,1,Scam suspicion,1.0
893,2,1,1,Valid,1.0
894,2,1,1,Debt collector,1.0
895,2,1,1,Debt collector,1.0
896,2,1,1,Scam suspicion,1.0
897,2,1,1,Scam suspicion,1.0
898,2,1,1,Prank,1.0
899,2,2,0,Text message,1.0
900,2,1,1,Scam suspicion,1.0
901,2,1,1,Scam suspicion,1.0
902,2,1,1,Scam suspicion,1.0
903,2,1,1,Scam suspicion,1.0
904,2,1,1,Political call,1.0
905,2,2,0,Valid,0.5
906,2,1,1,Scam suspicion,1.0
907,2,1,1,Scam suspicion,1.0
908,2,1,1,Scam suspicion,1.0
909,2,1,1,Telemarketer,1.0
910,2,1,1,Debt collector,1.0
911,2,1,1,Text message,1.0
912,2,1,1,Unwanted,1.0
913,2,1,1,Scam suspicion,1.0
914,2,1,1,Scam suspicion,1.0
915,2,1,1,Scam suspicion,1.0
916,2,1,1,Unknown,1.0
917,2,1,1,Unwanted,1.0
918,2,1,1,Text message,1.0
919,2,1,1,Unwanted,1.0
920,2,1,1,Unknown,1.0
921,2,1,1,Unknown,1.0
922,2,1,1,Prank,1.0
923,2,1,1,Unknown,1.0
924,2,1,1,Unwanted,1.0
925,2,1,1,Scam suspicion,1.0
926,2,1,1,Scam suspicion,1.0
927,2,2,0,Scam suspicion,0.5
928,2,1,1,Text message,1.0
929,2,1,1,Non-profit organization,1.0
930,2,1,1,Scam suspicion,1.0
931,2,2,0,Scam suspicion,1.0
932,2,1,1,Scam suspicion,1.0
933,2,1,1,Scam suspicion,1.0
934,2,1,1,Fax,1.0
935,2,1,1,Text message,1.0
936,2,1,1,Unknown,1.0
937,2,1,1,Unknown,1.0
938,2,1,1,Telemarketer,1.0
939,2,1,1,Scam suspicion,1.0
940,2,1,1,Telemarketer,1.0
941,2,1,1,Scam suspicion,1.0
942,2,1,1,Debt collector,1.0
943,2,1,1,Scam suspicion,1.0
944,2,1,1,Telemarketer,1.0
945,2,1,1,Scam suspicion,1.0
946,2,1,1,Prank,1.0
947,2,2,0,Scam suspicion,0.5
948,2,1,1,Unwanted,1.0
949,2,2,0,Text message,1.0
950,2,2,0,Scam suspicion,1.0
951,2,2,0,Survey,1.0
952,2,1,1,Scam suspicion,1.0
953,2,1,1,Scam suspicion,1.0
954,2,1,1,Debt collector,1.0
955,2,1,1,Scam suspicion,1.0
956,2,1,1,Scam suspicion,1.0
957,2,1,1,Unwanted,1.0
958,2,1,1,Scam suspicion,1.0
959,2,1,1,Scam suspicion,1.0
960,2,1,1,Scam suspicion,1.0
961,2,1,1,Unwanted,1.0
962,2,1,1,Scam suspicion,1.0
963,2,1,1,Telemarketer,1.0
964,2,1,1,Debt collector,1.0
965,2,1,1,Scam suspicion,1.0
966,2,1,1,Telemarketer,1.0
967,2,1,1,Survey,1.0
968,2,1,1,Telemarketer,1.0
969,2,1,1,Scam suspicion,1.0
970,2,2,0,Unknown,1.0
971,2,1,1,Unknown,1.0
972,2,1,1,Scam suspicion,1.0
973,2,1,1,Scam suspicion,1.0
974,2,2,0,Text message,1.0
975,2,1,1,Scam suspicion,1.0
976,2,1,1,Unknown,1.0
977,2,1,1,Scam suspicion,1.0
978,2,1,1,Scam suspicion,1.0
979,2,1,1,Scam suspicion,1.0
980,2,1,1,Scam suspicion,1.0
981,2,1,1,Scam suspicion,1.0
982,2,2,0,Scam suspicion,1.0
983,2,1,1,Scam suspicion,1.0
984,2,2,0,Telemarketer,1.0
985,2,2,0,Telemarketer,1.0
986,2,1,1,Scam suspicion,1.0
987,2,1,1,Telemarketer,1.0
988,2,1,1,Text message,1.0
989,2,2,0,Scam suspicion,1.0
990,2,2,0,Scam suspicion,1.0
991,2,1,1,Scam suspicion,1.0
992,2,1,1,Scam suspicion,1.0
993,2,1,1,Debt collector,1.0
994,2,2,0,Scam suspicion,1.0
995,2,1,1,Debt collector,1.0
996,2,1,1,Scam suspicion,1.0
997,2,1,1,Scam suspicion,1.0
998,2,1,1,Scam suspicion,1.0
999,2,1,1,Valid,1.0
1000,2,1,1,Scam suspicion,1.0
1001,2,1,1,Text message,1.0
1002,2,2,0,Scam suspicion,1.0
1003,2,1,1,Telemarketer,1.0
1004,2,1,1,Scam suspicion,1.0
1005,2,2,0,Scam suspicion,1.0
1006,2,1,1,Scam suspicion,1.0
1007,2,1,1,Telemarketer,1.0
1008,2,2,0,Scam suspicion,1.0
1009,2,1,1,Scam suspicion,1.0
1010,2,1,1,Scam suspicion,1.0
1011,2,1,1,Telemarketer,1.0
1012,2,1,1,Scam suspicion,1.0
1013,2,2,0,Unknown,0.5
1014,2,1,1,Scam suspicion,1.0
1015,2,1,1,Scam suspicion,1.0
1016,2,1,1,Scam suspicion,1.0
1017,2,2,0,Scam suspicion,0.5
1018,2,1,1,Scam suspicion,1.0
1019,2,2,0,Scam suspicion,1.0
1020,2,1,1,Debt collector,1.0
1021,2,1,1,Scam suspicion,1.0
1022,2,1,1,Scam suspicion,1.0
1023,2,2,0,Debt collector,1.0
1024,2,1,1,Telemarketer,1.0
1025,2,2,0,Scam suspicion,1.0
1026,2,1,1,Scam suspicion,1.0
1027,2,1,1,Scam suspicion,1.0
1028,2,1,1,Scam suspicion,1.0
1029,2,1,1,Scam suspicion,1.0
1030,2,1,1,Scam suspicion,1.0
1031,2,2,0,Scam suspicion,1.0
1032,2,1,1,Scam suspicion,1.0
1033,2,1,1,Scam suspicion,1.0
1034,2,1,1,Unknown,1.0
1035,2,1,1,Scam suspicion,1.0
1036,2,1,1,Scam suspicion,1.0
1037,2,1,1,Scam suspicion,1.0
1038,2,1,1,Scam suspicion,1.0
1039,2,1,1,Scam suspicion,1.0
1040,2,1,1,Fax,1.0
1041,2,1,1,Scam suspicion,1.0
1042,2,1,1,Unknown,1.0
1043,2,1,1,Non-profit organization,1.0
1044,2,1,1,Scam suspicion,1.0
1045,2,1,1,Scam suspicion,1.0
1046,2,2,0,Scam suspicion,1.0
1047,2,1,1,Valid,1.0
1048,2,1,1,Scam suspicion,1.0
1049,2,1,1,Text message,1.0
1050,2,1,1,Scam suspicion,1.0
1051,2,1,1,Scam suspicion,1.0
1052,2,2,0,Scam suspicion,0.5
1053,2,1,1,Scam suspicion,1.0
1054,2,1,1,Debt collector,1.0
1055,2,2,0,Scam suspicion,1.0
1056,2,1,1,Text message,1.0
1057,2,1,1,Debt collector,1.0
1058,2,1,1,Unwanted,1.0
1059,2,2,0,Scam suspicion,1.0
1060,2,2,0,Scam suspicion,1.0
1061,2,1,1,Scam suspicion,1.0
1062,2,1,1,Valid,1.0
1063,2,1,1,Telemarketer,1.0
1064,2,1,1,Scam suspicion,1.0
1065,2,1,1,Debt collector,1.0
1066,2,1,1,Scam suspicion,1.0
1067,2,1,1,Scam suspicion,1.0
1068,2,2,0,Unwanted,0.5
1069,2,1,1,Telemarketer,1.0
1070,2,1,1,Scam suspicion,1.0
1071,2,2,0,Unwanted,1.0
1072,2,1,1,Scam suspicion,1.0
1073,2,1,1,Scam suspicion,1.0
1074,2,1,1,Valid,1.0
1075,2,1,1,Scam suspicion,1.0
1076,2,1,1,Scam suspicion,1.0
1077,2,1,1,Scam suspicion,1.0
1078,2,1,1,Telemarketer,1.0
1079,2,1,1,Scam suspicion,1.0
1080,2,1,1,Scam suspicion,1.0
1081,2,1,1,Unknown,1.0
1082,2,1,1,Text message,1.0
1083,2,1,1,Unknown,1.0
1084,2,1,1,Scam suspicion,1.0
1085,2,1,1,Debt collector,1.0
1086,2,1,1,Telemarketer,1.0
1087,2,1,1,Scam suspicion,1.0
1088,2,2,0,Survey,1.0
1089,2,1,1,Text message,1.0
1090,2,1,1,Scam suspicion,1.0
1091,2,1,1,Scam suspicion,1.0
1092,2,1,1,Scam suspicion,1.0
1093,2,1,1,Debt collector,1.0
1094,2,1,1,Scam suspicion,1.0
1095,2,1,1,Debt collector,1.0
1096,2,1,1,Debt collector,1.0
1097,2,1,1,Unknown,1.0
1098,2,1,1,Scam suspicion,1.0
1099,2,1,1,Telemarketer,1.0
1100,2,1,1,Text message,1.0
1101,2,1,1,Prank,1.0
1102,2,2,0,Scam suspicion,1.0
1103,2,2,0,Text message,1.0
1104,2,1,1,Scam suspicion,1.0
1105,2,1,1,Scam suspicion,1.0
1106,2,1,1,Scam suspicion,1.0
1107,2,1,1,Unwanted,1.0
1108,2,1,1,Scam suspicion,1.0
1109,2,1,1,Debt collector,1.0
1110,2,1,1,Political call,1.0
1111,2,1,1,Scam suspicion,1.0
1112,2,1,1,Prank,1.0
1113,2,1,1,Scam suspicion,1.0
1114,2,1,1,Scam suspicion,1.0
1115,2,1,1,Telemarketer,1.0
1116,2,1,1,Telemarketer,1.0
1117,2,1,1,Scam suspicion,1.0
1118,2,1,1,Scam suspicion,1.0
1119,2,1,1,Telemarketer,1.0
1120,2,2,0,Unwanted,0.5
1121,2,1,1,Text message,1.0
1122,2,1,1,Debt collector,1.0
1123,2,2,0,Scam suspicion,1.0
1124,2,1,1,Telemarketer,1.0
1125,2,1,1,Unwanted,1.0
1126,2,1,1,Scam suspicion,1.0
1127,2,1,1,Telemarketer,1.0
1128,2,1,1,Scam suspicion,1.0
1129,2,1,1,Valid,1.0
1130,2,1,1,Event reminder,1.0
1131,2,1,1,Scam suspicion,1.0
1132,2,1,1,Scam suspicion,1.0
1133,2,2,0,Scam suspicion,0.5
1134,2,1,1,Scam suspicion,1.0
1135,2,1,1,Scam suspicion,1.0
1136,2,2,0,Scam suspicion,1.0
1137,2,1,1,Scam suspicion,1.0
1138,2,1,1,Scam suspicion,1.0
1139,2,1,1,Scam suspicion,1.0
1140,2,1,1,Valid,1.0
1141,2,1,1,Scam suspicion,1.0
1142,2,2,0,Scam suspicion,1.0
1143,2,1,1,Telemarketer,1.0
1144,2,1,1,Scam suspicion,1.0
1145,2,2,0,Scam suspicion,1.0
1146,2,1,1,Scam suspicion,1.0
1147,2,1,1,Scam suspicion,1.0
1148,2,1,1,Scam suspicion,1.0
1149,2,1,1,Scam suspicion,1.0
1150,2,2,0,Scam suspicion,1.0
1151,2,1,1,Text message,1.0
1152,2,1,1,Scam suspicion,1.0
1153,2,1,1,Scam suspicion,1.0
1154,2,1,1,Scam suspicion,1.0
1155,2,1,1,Scam suspicion,1.0
1156,2,1,1,Scam suspicion,1.0
1157,2,1,1,Unknown,1.0
1158,2,1,1,Unwanted,1.0
1159,2,1,1,Scam suspicion,1.0
1160,2,1,1,Debt collector,1.0
1161,2,1,1,Unknown,1.0
1162,2,1,1,Scam suspicion,1.0
1163,2,1,1,Telemarketer,1.0
1164,2,1,1,Unknown,1.0
1165,2,1,1,Scam suspicion,1.0
1166,2,1,1,Telemarketer,1.0
1167,2,1,1,Scam suspicion,1.0
1168,2,1,1,Scam suspicion,1.0
1169,2,1,1,Scam suspicion,1.0
1170,2,1,1,Scam suspicion,1.0
1171,2,1,1,Debt collector,1.0
1172,2,1,1,Unwanted,1.0
1173,2,1,1,Telemarketer,1.0
1174,2,1,1,Unknown,1.0
1175,2,1,1,Scam suspicion,1.0
1176,2,1,1,Unknown,1.0
1177,2,2,0,Unknown,0.5
1178,2,1,1,Scam suspicion,1.0
1179,2,1,1,Text message,1.0
1180,2,1,1,Scam suspicion,1.0
1181,2,1,1,Scam suspicion,1.0
1182,2,1,1,Text message,1.0
1183,2,1,1,Telemarketer,1.0
1184,2,1,1,Scam suspicion,1.0
1185,2,1,1,Scam suspicion,1.0
1186,2,1,1,Scam suspicion,1.0
1187,2,1,1,Telemarketer,1.0
1188,2,1,1,Scam suspicion,1.0
1189,2,1,1,Text message,1.0
1190,2,2,0,Scam suspicion,1.0
1191,2,1,1,Scam suspicion,1.0
1192,2,1,1,Telemarketer,1.0
1193,2,1,1,Unwanted,1.0
1194,2,2,0,Unknown,1.0
1195,2,1,1,Text message,1.0
1196,2,1,1,Scam suspicion,1.0
1197,2,2,0,Scam suspicion,1.0
1198,2,1,1,Scam suspicion,1.0
1199,2,1,1,Scam suspicion,1.0
1200,2,1,1,Unwanted,1.0
1201,2,2,0,Fax,1.0
1202,2,1,1,Scam suspicion,1.0
1203,2,1,1,Scam suspicion,1.0
1204,2,1,1,Scam suspicion,1.0
1205,2,1,1,Telemarketer,1.0
1206,2,1,1,Scam suspicion,1.0
1207,2,1,1,Scam suspicion,1.0
1208,2,2,0,Fax,1.0
1209,2,1,1,Valid,1.0
1210,2,1,1,Scam suspicion,1.0
1211,2,1,1,Scam suspicion,1.0
1212,2,1,1,Telemarketer,1.0
1213,2,1,1,Scam suspicion,1.0
1214,2,1,1,Unknown,1.0
1215,2,2,0,Unknown,0.5
1216,2,1,1,Survey,1.0
1217,2,1,1,Prank,1.0
1218,2,1,1,Event reminder,1.0
1219,2,1,1,Scam suspicion,1.0
1220,2,1,1,Survey,1.0
1221,2,1,1,Scam suspicion,1.0
1222,2,1,1,Unwanted,1.0
1223,2,1,1,Scam suspicion,1.0
1224,2,1,1,Scam suspicion,1.0
1225,2,1,1,Scam suspicion,1.0
1226,2,1,1,Telemarketer,1.0
1227,2,1,1,Scam suspicion,1.0
1228,2,1,1,Scam suspicion,1.0
1229,2,1,1,Unwanted,1.0
1230,2,1,1,Unwanted,1.0
1231,2,1,1,Scam suspicion,1.0
1232,2,1,1,Scam suspicion,1.0
1233,2,1,1,Telemarketer,1.0
1234,2,1,1,Scam suspicion,1.0
1235,2,1,1,Scam suspicion,1.0
1236,2,1,1,Scam suspicion,1.0
1237,2,2,0,Scam suspicion,1.0
1238,2,1,1,Telemarketer,1.0
1239,2,1,1,Telemarketer,1.0
1240,2,1,1,Scam suspicion,1.0
1241,2,2,0,Scam suspicion,1.0
1242,2,1,1,Scam suspicion,1.0
1243,2,1,1,Prank,1.0
1244,2,1,1,Scam suspicion,1.0
1245,2,1,1,Telemarketer,1.0
1246,2,1,1,Unknown,1.0
1247,2,1,1,Text message,1.0
1248,2,1,1,Scam suspicion,1.0
1249,2,1,1,Scam suspicion,1.0
1250,2,1,1,Telemarketer,1.0
1251,2,1,1,Scam suspicion,1.0
1252,2,1,1,Debt collector,1.0
1253,2,1,1,Text message,1.0
1254,2,1,1,Scam suspicion,1.0
1255,2,1,1,Scam suspicion,1.0
1256,2,1,1,Unknown,1.0
1257,2,1,1,Scam suspicion,1.0
1258,2,1,1,Survey,1.0
1259,2,1,1,Debt collector,1.0
1260,2,1,1,Scam suspicion,1.0
1261,2,2,0,Scam suspicion,1.0
1262,2,1,1,Debt collector,1.0
1263,2,1,1,Scam suspicion,1.0
1264,2,1,1,Scam suspicion,1.0
1265,2,1,1,Scam suspicion,1.0
1266,2,1,1,Unwanted,1.0
1267,2,2,0,Scam suspicion,1.0
1268,2,1,1,Unknown,1.0
1269,2,1,1,Scam suspicion,1.0
1270,2,1,1,Debt collector,1.0
1271,2,1,1,Scam suspicion,1.0
1272,2,1,1,Scam suspicion,1.0
1273,2,1,1,Scam suspicion,1.0
1274,2,2,0,Scam suspicion,1.0
1275,2,1,1,Debt collector,1.0
1276,2,1,1,Debt collector,1.0
1277,2,2,0,Telemarketer,0.5
1278,2,1,1,Unwanted,1.0
1279,2,1,1,Scam suspicion,1.0
1280,2,1,1,Text message,1.0
1281,2,1,1,Scam suspicion,1.0
1282,2,1,1,Debt collector,1.0
1283,2,1,1,Fax,1.0
1284,2,1,1,Debt collector,1.0
1285,2,2,0,Scam suspicion,1.0
1286,2,1,1,Telemarketer,1.0
1287,2,1,1,Scam suspicion,1.0
1288,2,1,1,Telemarketer,1.0
1289,2,1,1,Scam suspicion,1.0
1290,2,2,0,Unwanted,0.5
1291,2,1,1,Scam suspicion,1.0
1292,2,1,1,Scam suspicion,1.0
1293,2,2,0,Scam suspicion,1.0
1294,2,1,1,Scam suspicion,1.0
1295,2,1,1,Debt collector,1.0
1296,2,1,1,Scam suspicion,1.0
1297,2,1,1,Scam suspicion,1.0
1298,2,1,1,Scam suspicion,1.0
1299,2,1,1,Debt collector,1.0
1300,2,1,1,Valid,1.0
1301,2,1,1,Scam suspicion,1.0
1302,2,2,0,Unknown,1.0
1303,2,2,0,Text message,1.0
1304,2,2,0,Scam suspicion,1.0
1305,2,1,1,Scam suspicion,1.0
1306,2,1,1,Scam suspicion,1.0
1307,2,1,1,Unwanted,1.0
1308,2,1,1,Scam suspicion,1.0
1309,2,1,1,Unknown,1.0
1310,2,1,1,Scam suspicion,1.0
1311,2,1,1,Scam suspicion,1.0
1312,2,1,1,Debt collector,1.0
1313,2,1,1,Scam suspicion,1.0
1314,2,2,0,Scam suspicion,1.0
1315,2,2,0,Scam suspicion,1.0
1316,2,1,1,Survey,1.0
1317,2,1,1,Scam suspicion,1.0
1318,2,1,1,Telemarketer,1.0
1319,2,1,1,Unknown,1.0
1320,2,1,1,Scam suspicion,1.0
1321,2,1,1,Text message,1.0
1322,2,1,1,Scam suspicion,1.0
1323,2,1,1,Scam suspicion,1.0
1324,2,1,1,Scam suspicion,1.0
1325,2,1,1,Scam suspicion,1.0
1326,2,1,1,Unknown,1.0
1327,2,1,1,Scam suspicion,1.0
1328,2,2,0,Scam suspicion,1.0
1329,2,2,0,Unknown,0.5
1330,2,1,1,Scam suspicion,1.0
1331,2,1,1,Text message,1.0
1332,2,2,0,Survey,0.5
1333,2,1,1,Scam suspicion,1.0
1334,2,1,1,Telemarketer,1.0
1335,2,1,1,Scam suspicion,1.0
1336,2,1,1,Telemarketer,1.0
1337,2,1,1,Debt collector,1.0
1338,2,1,1,Scam suspicion,1.0
1339,2,2,0,Scam suspicion,1.0
1340,2,1,1,Scam suspicion,1.0
1341,2,1,1,Silent call,1.0
1342,2,2,0,Text message,1.0
1343,2,1,1,Scam suspicion,1.0
1344,2,1,1,Unknown,1.0
1345,2,2,0,Scam suspicion,1.0
1346,2,1,1,Scam suspicion,1.0
1347,2,1,1,Scam suspicion,1.0
1348,2,1,1,Scam suspicion,1.0
1349,2,1,1,Debt collector,1.0
1350,2,1,1,Scam suspicion,1.0
1351,2,2,0,Text message,1.0
1352,2,1,1,Scam suspicion,1.0
1353,2,1,1,Unknown,1.0
1354,2,1,1,Scam suspicion,1.0
1355,2,2,0,Scam suspicion,1.0
1356,2,1,1,Scam suspicion,1.0
1357,2,1,1,Scam suspicion,1.0
1358,2,1,1,Scam suspicion,1.0
1359,2,1,1,Survey,1.0
1360,2,1,1,Telemarketer,1.0
1361,2,1,1,Unknown,1.0
1362,2,1,1,Debt collector,1.0
1363,2,1,1,Telemarketer,1.0
1364,2,1,1,Scam suspicion,1.0
1365,2,1,1,Debt collector,1.0
1366,2,1,1,Scam suspicion,1.0
1367,2,1,1,Scam suspicion,1.0
1368,2,1,1,Scam suspicion,1.0
1369,2,1,1,Text message,1.0
1370,2,1,1,Scam suspicion,1.0
1371,2,1,1,Scam suspicion,1.0
1372,2,1,1,Text message,1.0
1373,2,1,1,Scam suspicion,1.0
1374,2,1,1,Scam suspicion,1.0
1375,2,1,1,Scam suspicion,1.0
1376,2,1,1,Scam suspicion,1.0
1377,2,1,1,Scam suspicion,1.0
1378,2,1,1,Scam suspicion,1.0
1379,2,1,1,Debt collector,1.0
1380,2,1,1,Telemarketer,1.0
1381,2,1,1,Scam suspicion,1.0
1382,2,1,1,Silent call,1.0
1383,2,1,1,Scam suspicion,1.0
1384,2,1,1,Debt collector,1.0
1385,2,1,1,Scam suspicion,1.0
1386,2,1,1,Scam suspicion,1.0
1387,2,1,1,Scam suspicion,1.0
1388,2,1,1,Debt collector,1.0
1389,2,1,1,Debt collector,1.0
1390,2,1,1,Scam suspicion,1.0
1391,2,1,1,Scam suspicion,1.0
1392,2,1,1,Scam suspicion,1.0
1393,2,1,1,Telemarketer,1.0
1394,2,2,0,Scam suspicion,1.0
1395,2,1,1,Telemarketer,1.0
1396,2,1,1,Scam suspicion,1.0
1397,2,1,1,Unwanted,1.0
1398,2,2,0,Scam suspicion,1.0
1399,2,1,1,Silent call,1.0
1400,2,1,1,Telemarketer,1.0
1401,2,1,1,Scam suspicion,1.0
1402,2,1,1,Scam suspicion,1.0
1403,2,1,1,Telemarketer,1.0
1404,2,1,1,Telemarketer,1.0
1405,2,1,1,Scam suspicion,1.0
1406,2,1,1,Scam suspicion,1.0
1407,2,1,1,Scam suspicion,1.0
1408,2,2,0,Unknown,1.0
1409,2,1,1,Scam suspicion,1.0
1410,2,1,1,Scam suspicion,1.0
1411,2,2,0,Scam suspicion,1.0
1412,2,1,1,Unwanted,1.0
1413,2,1,1,Scam suspicion,1.0
1414,2,2,0,Unknown,0.5
1415,2,1,1,Scam suspicion,1.0
1416,2,1,1,Telemarketer,1.0
1417,2,1,1,Scam suspicion,1.0
1418,2,1,1,Telemarketer,1.0
1419,2,1,1,Telemarketer,1.0
1420,2,1,1,Scam suspicion,1.0
1421,2,1,1,Scam suspicion,1.0
1422,2,1,1,Text message,1.0
1423,2,1,1,Scam suspicion,1.0
1424,2,1,1,Scam suspicion,1.0
1425,2,1,1,Scam suspicion,1.0
1426,2,1,1,Scam suspicion,1.0
1427,2,1,1,Scam suspicion,1.0
1428,2,1,1,Text message,1.0
1429,2,1,1,Debt collector,1.0
1430,2,2,0,Scam suspicion,1.0
1431,2,1,1,Scam suspicion,1.0
1432,2,1,1,Unknown,1.0
1433,2,1,1,Scam suspicion,1.0
1434,2,2,0,Scam suspicion,0.5
1435,2,1,1,Debt collector,1.0
1436,2,1,1,Debt collector,1.0
1437,2,1,1,Scam suspicion,1.0
1438,2,2,0,Scam suspicion,1.0
1439,2,1,1,Scam suspicion,1.0
1440,2,2,0,Unwanted,0.5
1441,2,1,1,Scam suspicion,1.0
1442,2,1,1,Scam suspicion,1.0
1443,2,1,1,Scam suspicion,1.0
1444,2,1,1,Scam suspicion,1.0
